Sr No,Date,Startup Name,IndUSAtry Vertical,SubVertical,Location,Investors Name,InvestmentType,Amount,IsAmountDisclosed
2740,25-06-2015,Fusion Microfinance,Micro Finance Platform,Not Specified,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,8600000,1
2741,25-06-2015,Zinka,Freight logistics platform,Not Specified,Bangalore,"Accel Partners, Flipkart",Private Equity,6000000,1
2742,26-06-2015,CreditMantri,Credit Management Services,Not Specified,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,2500000,1
2743,26-06-2015,GetMyPeon,Hyperlocal Handyman Services,Not Specified,Mumbai,Undisclosed investors,Seed Funding,250000,1
2744,29-06-2015,UrbanClap,Hyperlocal services marketplace,Not Specified,New Delhi,"SAIF Partners, Accel Partners",Private Equity,10000000,1
2745,29-06-2015,StayGlad,Beauty services Mobile Marketplace,Not Specified,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,0,0
2746,29-06-2015,AdWyze,Marketing / Advertising Automation platform,Not Specified,Bangalore,Mape Advisory,Seed Funding,1000000,1
2747,29-06-2015,Zimmber,Hyperlocal Handyman Services,Not Specified,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,400000,1
2748,30-06-2015,Buttercups,Online Lingerie platform,Not Specified,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,0,0
2749,30-06-2015,RailYatri,Railways Information Mobile app,Not Specified,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,0,0
2750,30-06-2015,aagaar,Hyperlocal grocery delivery,Not Specified,Gurgaon,Group of Investors,Seed Funding,0,0
2751,30-06-2015,Flatchat,Flat rental Mobile App,Not Specified,Bangalore,Commonfloor,Private Equity,2500000,1
2752,30-06-2015,MyCFO,Wealth Management Platform,Not Specified,Mumbai,Sameer Koticha,Private Equity,1500000,1
2753,01-05-2015,Foodpanda,Online Food Delivery,Not Specified,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,100000000,1
2754,01-05-2015,Termsheet,Fund Raising Platform,Not Specified,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,100000,1
2755,04-05-2015,Applicate,Workforce Management Software,Not Specified,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,550000,1
